timestamp,action,view,value
2025-03-07 13:59:02.852,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:02.957,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:02.977,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:03.098,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:03.131,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:03.138,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:03.888,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:04.011,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:04.047,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:04.053,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:04.077,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:04.440,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:04.553,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:04.586,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:04.593,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:04.910,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:04.944,Wheel Scroll,Red1,delta=1
2025-03-07 13:59:05.356,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:05.475,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:05.494,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:05.518,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:05.525,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:05.548,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:05.875,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:06.026,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:06.047,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:06.072,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:06.079,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:06.103,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:06.109,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:15.246,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:15.373,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:15.384,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:15.387,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:15.518,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:15.531,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:15.551,Wheel Scroll,Red1,delta=-1
2025-03-07 13:59:16.221,Wheel Scroll,Red2,delta=1
2025-03-07 13:59:16.228,Wheel Scroll,Red2,delta=1
2025-03-07 13:59:16.349,Wheel Scroll,Red2,delta=1
2025-03-07 13:59:16.368,Wheel Scroll,Red2,delta=1
2025-03-07 13:59:16.391,Wheel Scroll,Red2,delta=1
2025-03-07 13:59:16.538,Wheel Scroll,Red2,delta=1
2025-03-07 13:59:17.024,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.118,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.138,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.160,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.166,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.188,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.193,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.383,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.731,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.751,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.773,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.779,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.801,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.807,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.878,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.897,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.920,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.926,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.946,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:17.951,Wheel Scroll,Green2,delta=1
2025-03-07 13:59:18.746,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:18.969,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:18.975,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.006,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.012,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.022,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.138,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.263,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.297,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.303,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.324,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.331,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.561,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.581,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.930,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.962,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.968,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:19.979,Wheel Scroll,Green2,delta=-1
2025-03-07 13:59:42.164,Start Zoom,Red1,
2025-03-07 13:59:42.178,Zoom,Red1,"(265, 110)"
2025-03-07 13:59:42.281,Zoom,Red1,"(265, 103)"
2025-03-07 13:59:42.315,Zoom,Red1,"(265, 100)"
2025-03-07 13:59:42.357,Zoom,Red1,"(265, 95)"
2025-03-07 13:59:42.410,Zoom,Red1,"(265, 85)"
2025-03-07 13:59:42.527,Zoom,Red1,"(265, 78)"
2025-03-07 13:59:42.565,Zoom,Red1,"(265, 75)"
2025-03-07 13:59:42.677,Zoom,Red1,"(265, 70)"
2025-03-07 13:59:42.963,Zoom,Red1,"(265, 69)"
2025-03-07 13:59:43.219,End Zoom,Red1,
2025-03-07 13:59:47.379,Start Scroll,Red1,
2025-03-07 13:59:47.491,Scroll,Red1,"(255, 106)"
2025-03-07 13:59:47.625,Scroll,Red1,"(255, 119)"
2025-03-07 13:59:47.659,Scroll,Red1,"(255, 133)"
2025-03-07 13:59:47.733,Scroll,Red1,"(255, 135)"
2025-03-07 13:59:47.768,Scroll,Red1,"(255, 152)"
